simulation_name,sim_type,m_value,rep_index,overall_return,commit_return,n,n_repetitions
cfr_vs_cpt,simple,,0,-0.00293,,100000,100
cfr_vs_cpt,simple,,1,0.00826,,100000,100
cfr_vs_cpt,simple,,2,0.0218,,100000,100
cfr_vs_cpt,simple,,3,0.00535,,100000,100
cfr_vs_cpt,simple,,4,-0.01162,,100000,100
cfr_vs_cpt,simple,,5,0.0,,100000,100
cfr_vs_cpt,simple,,6,0.00138,,100000,100
cfr_vs_cpt,simple,,7,-0.00542,,100000,100
cfr_vs_cpt,simple,,8,0.01008,,100000,100
cfr_vs_cpt,simple,,9,0.01264,,100000,100
cfr_vs_cpt,simple,,10,0.03063,,100000,100
cfr_vs_cpt,simple,,11,0.03223,,100000,100
cfr_vs_cpt,simple,,12,0.01753,,100000,100
cfr_vs_cpt,simple,,13,0.00948,,100000,100
cfr_vs_cpt,simple,,14,0.01507,,100000,100
cfr_vs_cpt,simple,,15,0.03091,,100000,100
cfr_vs_cpt,simple,,16,0.02582,,100000,100
cfr_vs_cpt,simple,,17,0.0109,,100000,100
cfr_vs_cpt,simple,,18,0.00211,,100000,100
cfr_vs_cpt,simple,,19,0.00064,,100000,100
cfr_vs_cpt,simple,,20,0.01447,,100000,100
cfr_vs_cpt,simple,,21,0.00682,,100000,100
cfr_vs_cpt,simple,,22,0.02264,,100000,100
cfr_vs_cpt,simple,,23,0.02508,,100000,100
cfr_vs_cpt,simple,,24,0.01976,,100000,100
cfr_vs_cpt,simple,,25,0.01978,,100000,100
cfr_vs_cpt,simple,,26,0.02093,,100000,100
cfr_vs_cpt,simple,,27,0.01331,,100000,100
cfr_vs_cpt,simple,,28,0.01507,,100000,100
cfr_vs_cpt,simple,,29,0.0301,,100000,100
cfr_vs_cpt,simple,,30,0.01437,,100000,100
cfr_vs_cpt,simple,,31,0.00833,,100000,100
cfr_vs_cpt,simple,,32,0.02777,,100000,100
cfr_vs_cpt,simple,,33,0.00689,,100000,100
cfr_vs_cpt,simple,,34,0.0264,,100000,100
cfr_vs_cpt,simple,,35,0.02279,,100000,100
cfr_vs_cpt,simple,,36,0.02258,,100000,100
cfr_vs_cpt,simple,,37,0.02147,,100000,100
cfr_vs_cpt,simple,,38,0.02543,,100000,100
cfr_vs_cpt,simple,,39,0.01283,,100000,100
cfr_vs_cpt,simple,,40,0.00209,,100000,100
cfr_vs_cpt,simple,,41,0.021,,100000,100
cfr_vs_cpt,simple,,42,0.00612,,100000,100
cfr_vs_cpt,simple,,43,0.01968,,100000,100
cfr_vs_cpt,simple,,44,0.01393,,100000,100
cfr_vs_cpt,simple,,45,0.00685,,100000,100
cfr_vs_cpt,simple,,46,0.00642,,100000,100
cfr_vs_cpt,simple,,47,-2e-05,,100000,100
cfr_vs_cpt,simple,,48,0.01628,,100000,100
cfr_vs_cpt,simple,,49,0.0257,,100000,100
cfr_vs_cpt,simple,,50,0.02779,,100000,100
cfr_vs_cpt,simple,,51,-0.01337,,100000,100
cfr_vs_cpt,simple,,52,0.01014,,100000,100
cfr_vs_cpt,simple,,53,0.01075,,100000,100
cfr_vs_cpt,simple,,54,0.00765,,100000,100
cfr_vs_cpt,simple,,55,0.00496,,100000,100
cfr_vs_cpt,simple,,56,0.02309,,100000,100
cfr_vs_cpt,simple,,57,0.01936,,100000,100
cfr_vs_cpt,simple,,58,0.01367,,100000,100
cfr_vs_cpt,simple,,59,0.00772,,100000,100
cfr_vs_cpt,simple,,60,0.0198,,100000,100
cfr_vs_cpt,simple,,61,0.00375,,100000,100
cfr_vs_cpt,simple,,62,0.01275,,100000,100
cfr_vs_cpt,simple,,63,0.02967,,100000,100
cfr_vs_cpt,simple,,64,0.02599,,100000,100
cfr_vs_cpt,simple,,65,0.00485,,100000,100
cfr_vs_cpt,simple,,66,0.00141,,100000,100
cfr_vs_cpt,simple,,67,0.01534,,100000,100
cfr_vs_cpt,simple,,68,0.01842,,100000,100
cfr_vs_cpt,simple,,69,0.03018,,100000,100
cfr_vs_cpt,simple,,70,0.01174,,100000,100
cfr_vs_cpt,simple,,71,0.01433,,100000,100
cfr_vs_cpt,simple,,72,-0.00956,,100000,100
cfr_vs_cpt,simple,,73,0.02006,,100000,100
cfr_vs_cpt,simple,,74,0.02753,,100000,100
cfr_vs_cpt,simple,,75,-0.00178,,100000,100
cfr_vs_cpt,simple,,76,0.01604,,100000,100
cfr_vs_cpt,simple,,77,0.01267,,100000,100
cfr_vs_cpt,simple,,78,0.00774,,100000,100
cfr_vs_cpt,simple,,79,0.01686,,100000,100
cfr_vs_cpt,simple,,80,0.0159,,100000,100
cfr_vs_cpt,simple,,81,0.01847,,100000,100
cfr_vs_cpt,simple,,82,0.02398,,100000,100
cfr_vs_cpt,simple,,83,0.02683,,100000,100
cfr_vs_cpt,simple,,84,0.0164,,100000,100
cfr_vs_cpt,simple,,85,0.01195,,100000,100
cfr_vs_cpt,simple,,86,0.02241,,100000,100
cfr_vs_cpt,simple,,87,0.01304,,100000,100
cfr_vs_cpt,simple,,88,0.00925,,100000,100
cfr_vs_cpt,simple,,89,0.02205,,100000,100
cfr_vs_cpt,simple,,90,0.0296,,100000,100
cfr_vs_cpt,simple,,91,-0.00374,,100000,100
cfr_vs_cpt,simple,,92,0.01008,,100000,100
cfr_vs_cpt,simple,,93,0.02529,,100000,100
cfr_vs_cpt,simple,,94,0.01299,,100000,100
cfr_vs_cpt,simple,,95,0.00786,,100000,100
cfr_vs_cpt,simple,,96,0.00905,,100000,100
cfr_vs_cpt,simple,,97,0.01106,,100000,100
cfr_vs_cpt,simple,,98,0.03049,,100000,100
cfr_vs_cpt,simple,,99,0.00473,,100000,100
etc_standard,run,1000.0,0,0.0322,0.104,10000,100
etc_standard,run,1000.0,1,-0.013,0.0632222222222222,10000,100
etc_standard,run,1000.0,2,-0.0286,0.038,10000,100
etc_standard,run,1000.0,3,-0.0336,0.0464444444444444,10000,100
etc_standard,run,1000.0,4,-0.1166,-0.0423333333333333,10000,100
etc_standard,run,1000.0,5,-0.1123,-0.0591111111111111,10000,100
etc_standard,run,1000.0,6,-0.071,-0.0017777777777777,10000,100
etc_standard,run,1000.0,7,0.0575,0.1156666666666666,10000,100
etc_standard,run,1000.0,8,0.1082,0.181,10000,100
etc_standard,run,1000.0,9,0.1163,0.2006666666666666,10000,100
etc_standard,run,1000.0,10,0.1892,0.286,10000,100
etc_standard,run,1000.0,11,-0.1776,-0.1302222222222222,10000,100
etc_standard,run,1000.0,12,-0.0716,0.0242222222222222,10000,100
etc_standard,run,1000.0,13,-0.0429,0.0258888888888888,10000,100
etc_standard,run,1000.0,14,0.1145,0.1748888888888889,10000,100
etc_standard,run,1000.0,15,0.1662,0.259,10000,100
etc_standard,run,1000.0,16,-0.1058,-0.0401111111111111,10000,100
etc_standard,run,1000.0,17,0.1731,0.256,10000,100
etc_standard,run,1000.0,18,-0.1539,-0.0964444444444444,10000,100
etc_standard,run,1000.0,19,0.1162,0.2063333333333333,10000,100
etc_standard,run,1000.0,20,-0.1096,-0.08,10000,100
etc_standard,run,1000.0,21,-0.054,-0.0065555555555555,10000,100
etc_standard,run,1000.0,22,0.18,0.2915555555555555,10000,100
etc_standard,run,1000.0,23,-0.2117,-0.1792222222222222,10000,100
etc_standard,run,1000.0,24,-0.0732,-0.012,10000,100
etc_standard,run,1000.0,25,0.0126,0.1252222222222222,10000,100
etc_standard,run,1000.0,26,0.1892,0.3023333333333333,10000,100
etc_standard,run,1000.0,27,0.0622,0.119,10000,100
etc_standard,run,1000.0,28,0.0301,0.0821111111111111,10000,100
